version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
3.2.0,yes,active,Canada COVID-19,2020-05-15T21:16:37,GooglePlay (Android),"Mar 30, 2020",national government,health authority,no,CAN,North America,covid-19 specific,information provision; information exchange; contact tracing; notifications,news; statistics; prevention; symptoms monitoring with data sharing; continuous location sharing; sending notifications,location as province/region; location as gps/cell tower data; health status; other,no
,no,active,RajCovidInfo,,GooglePlay (Android),"Apr 1, 2020",national government,no,no,IND,Asia,covid-19 specific,information provision,access to health services,,
1.0.17,yes,active,COVIDSafe,2020-05-13T11:50:12,GooglePlay (Android),"Apr 25, 2020",national government,health authority,no,AUS,Oceania,covid-19 specific,contact tracing; notifications; lockdown management,proximity tracking; sending notifications; mobility checking,location as province/region; proximity; positive status; other,yes
1.0.16,yes,notactive,SaferTogether,2020-04-29T18:41:35,GooglePlay (Android),"Apr 24, 2020",national government,health authority,no,SGP,Asia,covid-19 specific,contact tracing; notifications,continuous location sharing; sending notifications; sending instructions,proximity; location as gps/cell tower data; other,yes
1.2.0,yes,active,COVID AP-HM,2020-03-15T01:24:44,GooglePlay (Android),"Mar 14, 2020",technology company,health facilities,yes,FRA,Europe,covid-19 specific,expert support; information exchange,telemedicine; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor,health status; positive status; other,yes
1.0.5,no,notactive,COVID-19 Tam,2020-04-24T18:34:10,GooglePlay (Android),"Mar 30, 2020",national government,health authority,no,MEX,North America,covid-19 specific,information provision,,,
3.11.1.3,no,active,Госуслуги Москвы,2020-04-16T11:43:57,GooglePlay (Android),"Sep 27, 2012",local/regional government,no,no,RUS,Europe,other,other,,,
1.0.1,no,active,El Cabildo en tu móvil,2020-04-03T17:35:09,GooglePlay (Android),"Mar 22, 2020",local/regional government,no,yes,ESP,Europe,health-generic,information provision; notifications,,,
1,yes,active,Allina Health,2020-05-08T13:32:34,GooglePlay (Android),"Aug 15, 2017",health company,health facilities,no,USA,North America,health-generic,information provision; information exchange; expert support,telemedicine; symptoms monitoring with data sharing; communication with a doctor,health status; positive status; location as gps/cell tower data; other,no
1,no,active,Canasta Solidaria,2020-04-14T21:27:54,GooglePlay (Android),,local/regional government,no,no,ARG,South America,other,other,,,
1,yes,active,Covid Care Basel-Stadt,2020-04-30T07:00:00,GooglePlay (Android),"Apr 18, 2020",local/regional government,health authority,no,CHE,Europe,covid-19 specific,information exchange; expert support; lockdown management,telemedicine; manage self-isolation; communication with a doctor; mobility checking; help in self-isolation,location as province/region;  health status; positive status; other,yes
1,yes,active,Telemedicina Paraná,2020-05-14T14:51:49,GooglePlay (Android),"Mar 22, 2020",local/regional government,health facilities,no,BRA,South America,covid-19 specific,information exchange; expert support; lockdown management,symptoms monitoring with data sharing;telemedicine; communication with a doctor; mobility for citizen in lockdown; mobility checking,location as province/region; location as gps/cell tower data; health status,no
,no,active,CDC,,GooglePlay (Android),"Oct 16, 2012",national government,no,no,USA,North America,health-generic,information provision,,,
3.006,yes,active,CoBuddy - Covid19 Tool,2020-03-30T14:06:07,GooglePlay (Android),"Mar 23, 2020",technology company,no,no,IND,Asia,covid-19 specific,expert support; information exchange; notifications; lockdown management,telemedicine; news; manage self-isolation; occasional location sharing; sending notifications,location as province/region; other,yes
1,yes,active,geoHealthApp Covid19 / Coronavirus​ Tracker,2020-05-06T11:55:16,GooglePlay (Android),"May 9, 2020",health company,consortium,no,CHE,Europe,covid-19 specific,information exchange; contact tracing; notifications,symptoms monitoring with data sharing; risk assessment with data sharing; occasional location sharing; continuous location sharing; sending notifications; sending instructions,location as gps/cell tower data;  health status; other,yes
1,yes,notactive,Castor COVID-19,2020-04-13T11:50:42,GooglePlay (Android),"Mar 24, 2020",university(ies) or research centre(s),medicine research institute(s) university(ies),yes,NLD,Europe,covid-19 specific,expert support; information exchange,monitor overall situation; training; symptoms monitoring with data sharing,health status,no
2.1.0,no,active,Ministry of Public Health,2020-04-09T18:29:59,GooglePlay (Android),"Apr 26, 2013",national government,health authority,no,LBN,Asia,health-generic,other-health,,,
2.0.2,yes,notactive,CovTracer,2020-06-11T06:15:33,GooglePlay (Android),"Mar 24, 2020",university(ies) or research centre(s),medicine research institute(s) university(ies),yes,CYP,Europe,covid-19 specific,contact tracing ,continuous location sharing,location as province/region; location as gps/cell tower data; health status,yes
1.0.4,no,active,CovidEC,2020-03-22T11:05:23,GooglePlay (Android),"Mar 18, 2020",national government,health authority,no,ECU,South America,covid-19 specific,information provision; personalised support without data sharing,,,
2.7,no,active,eHAC Indonesia,2020-05-10T16:57:54,GooglePlay (Android),"Apr 9, 2020",national government,na,no,IDN,Asia,covid-19 specific,personalised support without data sharing; lockdown management,,,
1.2,no,active,Y Tế Trực Tuyến - Sở Y Tế TP.HCM,2020-03-31T14:10:43,GooglePlay (Android),"Mar 10, 2020",local/regional government,health authority,no,VNM,Asia,health-generic,information exchange,,,
2.8.3,no,notactive,Coronavírus SP,2020-04-27T19:20:41,GooglePlay (Android),"Mar 25, 2020",local/regional government,health authority,no,BRA,South America,covid-19 specific,personalised support without data sharing; notifications,,,
1.0.2,yes,active,صحة مصر,2020-04-16T16:25:00,GooglePlay (Android),"Apr 7, 2020",national government,health authority; health facilities ,no,EGY,Africa,covid-19 specific,information provision; information exchange; notifications; contact tracing; lockdown management,news; statistics; prevention; medication; symptoms monitoring with data sharing; proximity tracking; sending notifications,location as gps/cell tower data; health status,na
1,no,active,Symptom Tracker,2020-04-25T00:40:42,GooglePlay (Android),"May 14, 2020",technology company,na,no,USA,North America,covid-19 specific,personalised support without data sharing,,,
1,no,active,NHS 24 : Covid-19,2020-04-13T13:41:52,GooglePlay (Android),,local/regional government,health authority,no,GBR,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
,no,active,Mobile JKN,,GooglePlay (Android),"Apr 17, 2016",health company,no,no,IDN,Asia,health-generic,information provision,access to health services,,
1.5.0,no,active,COVID-19 Odisha,2020-04-23T16:03:40,GooglePlay (Android),"Apr 7, 2020",local/regional government,consortium; health authority,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; information exchange,,proximity; location as gps/cell tower data; other,no
1,no,active,XFERALL,2020-05-13T23:04:46,GooglePlay (Android),"Apr 17, 2017",health company,health facilities,no,USA,North America,health-generic,expert support,,,
1,no,active,ASTCT Practice Guidelines,2020-04-29T00:48:49,GooglePlay (Android),"Feb 17, 2017",national government,medicine research institute(s) university(ies),no,USA,North America,health-generic,other-health,,,
1.0.2,yes,active,Smittestop,2020-06-24T19:33:34,GooglePlay (Android),"Jun 17, 2020",national government,health authority,yes,DNK,Europe,covid-19 specific,contact tracing,proximity tracking; sending notifications; sending instructions,proximity; positive status,yes
1.22,no,notactive,Indore COVID-19 Survey,2020-05-29T13:49:39,GooglePlay (Android),"Apr 10, 2020",technology company,consortium,no,IND,Asia,covid-19 specific,information exchange,,,
2.30.24,no,active,全民健保行動快易通 | 健康存摺,2020-04-24T07:00:57,GooglePlay (Android),"Nov 26, 2012",national government,health authority,no,TWN,Asia,health-generic,other-health,,,
,no,active,CUIDAR COVID-19 ARGENTINA,,GooglePlay (Android),"Mar 21, 2020",national government,health authority,no,ARG,South America,covid-19 specific,information exchange,self-diagnosis with data sharing,,
1.0.15,no,active,Valle Corona,2020-05-16T03:34:01,GooglePlay (Android),"Mar 23, 2020",local/regional government,na,no,COL,South America,covid-19 specific,personalised support without data sharing,,,
1,no,active,Prefeitura de Castanhal,2020-05-08T19:11:21,GooglePlay (Android),"Apr 22, 2020",local/regional government,no,no,BRA,South America,covid-19 influenced,information provision,,,
1.0.221,no,active,beSafeMoris,2020-05-17T10:47:55,GooglePlay (Android),"Mar 20, 2020",technology company,health authority,no,MUS,Africa,covid-19 specific,information provision; notifications,,,
1.0.16,no,active,MySejahtera,2020-05-12T17:10:06,GooglePlay (Android),"Mar 26, 2020",national government,health authority,no,MYS,Asia,covid-19 specific,information provision; information exchange,,,
1.2.0.12-QA_229,yes,active,Stopp Corona,2020-05-13T16:41:57,GooglePlay (Android),"Mar 25, 2020",non-profit organization,health facilities,yes,AUT,Europe,covid-19 specific,information exchange; contact tracing; notifications,symptoms monitoring with data sharing; proximity tracking; sending notifications; sending instructions,proximity; health status; positive status,yes
1.1.1,yes,active,AarogyaSetu,2020-05-15T17:33:49,AppStore (iOS),2020-04-01T07:00:00Z,national government,health authority,no,IND,Asia,covid-19 specific,information exchange; contact tracing; notifications,symptoms monitoring with data sharing; proximity tracking; continuous location sharing; sending notifications,location as gps/cell tower data; health status,na
1,yes,active,patientMpower for COVID-19,2020-04-30T17:17:22,AppStore (iOS),2020-03-14T07:00:00Z,health company,health authority,yes,IRL,Europe,covid-19 specific,information exchange; expert support; notifications,telemedicine; help in self-isolation; symptoms monitoring with data sharing; manage self-isolation; communication with a doctor; sending instructions,location as gps/cell tower data; health status; positive status; other,yes
1,yes,active,Plan Jalisco Covid-19,2020-05-12T23:27:37,AppStore (iOS),2020-03-25T07:00:00Z,local/regional government,na,no,MEX,North America,covid-19 specific,information provision; contact tracing; notifications,statistics; prevention; proximity tracking; continuous location sharing; occasional location sharing; sending notifications,proximity; location as gps/cell tower data; health status; positive status; other,yes
,no,active,Human Dx,,AppStore (iOS),2015-10-15T06:35:05Z,technology company,no,no,USA,North America,health-generic,expert support,training,,
1.2.5,no,active,RIVM LCI-richtlijnen,2020-03-20T08:29:54,AppStore (iOS),2017-07-17T14:17:17Z,national government,health authority,yes,NLD,Europe,covid-19 influenced,expert support; information provision,,,
1,no,active,aidminutes.rescue (COVID-19),2020-05-22T22:44:50,AppStore (iOS),2020-05-17T07:00:00Z,health company,consortium,yes,DEU,Europe,health-generic,expert support; information exchange,,,
1,no,active,Internal Medicine Exam Prep,2020-04-19T15:28:08,AppStore (iOS),2019-09-17T07:00:00Z,technology company,medicine research institute(s) university(ies),no,USA,North America,other,other,,,
,no,active,COVID-19 Gov PK,,AppStore (iOS),2020-03-28T07:00:00Z,national government,health authority,no,PAK,Asia,covid-19 specific,information exchange,self-diagnosis with data sharing,,
